Province and Territory,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Canada,8095,16422,15310,13955,13055,10684,8000,8249
Newfoundland and Labrador,124,261,245,136,99,52,36,45
Prince Edward Island,22,71,83,81,67,57,62,69
Nova Scotia,266,520,503,555,602,484,381,383
New Brunswick,335,485,496,498,478,377,348,322
Ontario,1210,2072,1974,1820,1804,1657,1092,1387
Manitoba,440,1031,954,934,914,700,556,516
Saskatchewan,438,1095,952,866,740,437,307,324
Alberta,3562,7975,7152,6097,5125,4116,3096,3025
British Columbia,1670,2860,2884,2893,3158,2756,2093,2145
Yukon,13,25,32,24,40,26,16,12
Northwest Territories and Nunavut,15,27,35,51,28,22,13,21
